"Story ID","Epic","Sprint","Story Title","Story Type","Story Points","Priority","Status","Dependencies","Spec Strategy","Acceptance Criteria","Notes"
"KG-01","Infrastructure (F-04)","Sprint 1","CDK Stack — DynamoDB table, GSIs, IAM role, SSM parameters","Backend","5","High","Backlog","","data-persistence-architecture.md §7.1","AC:
- DynamoDB table 'kiro-governance-tracker' created with PK (pk:String) and SK (sk:String) per F-04 §2.2
- Billing mode is PAY_PER_REQUEST per F-04 §2.1 (SRS NFR-01)
- Deletion protection and point-in-time recovery enabled per F-04 §2.1
- GSI 'gsi-type-created' (PK: type, SK: created_at, projection: ALL) per F-04 §2.4
- GSI 'gsi-gate-created' (PK: gate, SK: created_at, projection: ALL) per F-04 §2.4
- IAM role 'kiro-gov-mcp-server-role' with DynamoDB PutItem+Query, SSM GetParameter, KMS Decrypt, explicit DENY on DeleteItem+UpdateItem per F-04 §6.1
- SSM parameters created: /kiro-governance/config/table-name, /kiro-governance/config/region per F-04 §6.2
- CDK stack deploys successfully with 'cdk deploy'","Foundation for all other stories. Must deploy first."
"KG-02","Infrastructure (F-04)","Sprint 1","EC2 Instance provisioning + self-signed TLS cert setup","DevOps","3","High","Backlog","KG-01","mcp-server-core-architecture.md §2, §8","AC:
- EC2 instance type t3.micro provisioned in us-east-1 per F-01 §2.2
- Security group 'kiro-gov-mcp-server-sg' with inbound TCP 443 from 0.0.0.0/0 and SSH from admin CIDR, outbound TCP 443 to 0.0.0.0/0 per F-01 §2.5
- Elastic IP attached to instance per F-01 §8.2
- Node.js 20 LTS installed per F-01 §2.1
- Self-signed TLS certificate generated (RSA 4096-bit, 365-day validity) at /opt/kiro-governance/cert.pem per F-01 §2.4
- SHA-256 cert fingerprint extracted and documented per F-01 §8.2
- Instance profile attached with 'kiro-gov-mcp-server-role' IAM role per F-04 §6.1
- CloudWatch agent installed per F-01 §9.2","Elastic IP must be noted for GitHub Actions secrets and agent config."
"KG-03","MCP Server (F-01)","Sprint 1","MCP Server project scaffold (Node.js/TypeScript, MCP SDK, systemd)","Backend","3","High","Backlog","KG-02","mcp-server-core-architecture.md §2, §7, §8","AC:
- TypeScript project initialized with Node.js 20 per F-01 §2.1
- @modelcontextprotocol/sdk dependency installed per F-01 §2.1
- MCP server listens on port 443 with HTTPS/SSE (Streamable HTTP) transport per F-01 §2.4
- TLS configured using cert.pem and key.pem from /opt/kiro-governance/ per F-01 §7.2
- API key validation on all requests via X-API-Key header checked against SSM '/kiro-governance/config/mcp-api-key' per F-01 §7.1
- Returns HTTP 401 for missing/invalid API key per F-01 §11 edge case 9
- GET /health endpoint returns 200 with {status:'ok', uptime:<seconds>} per F-01 §8.3
- systemd service 'kiro-mcp-server.service' with Restart=on-failure, RestartSec=5, AmbientCapabilities=CAP_NET_BIND_SERVICE per F-01 §2.3
- Server startup loads config from SSM (table-name, region, api-key) and caches in memory per F-01 §7.3
- CloudWatch log group '/kiro-governance/mcp-server' with JSON structured logging per F-01 §9.2","Scaffold only — tools registered but not implemented yet."
"KG-04","MCP Server (F-01)","Sprint 1","record_progress tool — DynamoDB write, classification, dedup","Backend","5","High","Backlog","KG-03","mcp-server-core-architecture.md §3.2, §4, §5; data-persistence-architecture.md §4","AC:
- MCP tool 'record_progress' registered with input schema matching RecordProgressInputSchema per F-01 §3.2
- Input validation via Zod: project_id (string min 1), update_text (string min 1 max 4096), type (optional enum macro|micro), gate (optional string), phase (optional string), source_ref (string min 1), actor (string min 1), flag_override (optional boolean) per F-01 §3.2
- Auto-classification: case-insensitive substring match against 10 canonical gates from packages/shared/constants/macro-gates.ts per F-01 §4.1, §4.2
- 3 gate aliases supported ('solution architecture approved', 'sprint plan approved', 'documentation approved') per F-01 §4.1
- flag_override=true bypasses auto-classification, stores caller-provided type per F-01 §4.3
- Gate auto-derivation: if gate param absent and event classifies as macro, resolvedGate set from matched canonical gate per F-01 §3.2 (FINDING-2 fix)
- Dedup for macro events: PutItem sentinel DEDUP#<idempotency_key> with attribute_not_exists(pk) condition per F-04 §4.2
- Idempotency key format: <project_id>#<gate.toLowerCase().trim()>#<YYYY-MM-DD> for macro per F-04 §4.1
- Micro events: no dedup sentinel, ULID-based key guarantees uniqueness per F-04 §4.1
- On successful write returns {written:true, pk, sk} per F-01 §3.2
- On duplicate returns {written:false, reason:'duplicate'} per F-01 §5.4
- DynamoDB record includes all attributes per F-04 §2.3: pk, sk, update_text, type, flag_override, gate, phase, source_ref, actor, created_at, idempotency_key
- Shared constants module at packages/shared/constants/macro-gates.ts exports MACRO_GATES, MACRO_GATE_ALIASES, classifyEvent per F-01 §4.4","Core tool — most complex story in the backlog."
"KG-05","MCP Server (F-01)","Sprint 1","notify_slack tool — SSM webhook lookup, Slack POST","Backend","2","High","Backlog","KG-03","mcp-server-core-architecture.md §3.1, §6","AC:
- MCP tool 'notify_slack' registered with input schema matching NotifySlackInputSchema per F-01 §3.1
- Input validation via Zod: project_id (string min 1), message (string min 1), event_type (enum macro|micro) per F-01 §3.1
- If event_type is 'micro', returns {notified:false, reason:'micro_event'} without calling Slack per F-01 §3.1
- For macro events: reads SSM parameter '/kiro-governance/slack/webhooks/{project_id}' with decryption per F-01 §6.3
- Webhook URL cached with 5-minute TTL per F-01 §7.3
- If SSM parameter missing, returns {notified:false, reason:'webhook_not_configured'} per F-01 §11 edge case 1
- Full SSM path logged internally to CloudWatch but NOT returned to MCP caller per F-01 §11 edge case 1
- Slack POST body format: {text: '🏁 *[{project_id}]* {message}'} per F-01 §6.1, §6.2
- On Slack non-200, returns {notified:false, reason:'slack_error: <status>'} per F-01 §6.4
- On Slack timeout (>5s), returns {notified:false, reason:'slack_timeout'} per F-01 §6.4
- On success returns {notified:true} per F-01 §3.1","Simpler tool — depends on SSM params being configured."
"KG-06","Agent Integration (F-02)","Sprint 2","Human-approval gate — orchestrator + sub-agent steering files","Backend","5","High","Backlog","KG-04; KG-05","agent-integration-architecture.md §2, §5","AC:
- .kiro/steering/orchestrator.md updated with governance gate instructions per F-02 §5.1
- Gate logic covers all 10 canonical macro gates per F-02 §2.1 (SRS §16)
- On human 'approve': orchestrator resolves project_id (env KIRO_PROJECT_ID → git remote → .kiro/project.json) per F-02 §3.2
- On human 'approve': orchestrator resolves actor (git config user.name → ask human) per F-02 §3.3
- On human 'reject': no MCP calls fire, artifact returns to sub-agent per F-02 §2.4 (SRS §10)
- Gate presentation format shows artifact path, producer agent, gate name per F-02 §2.3
- .kiro/mcp.json created with remote server config using env var interpolation (${KIRO_GOV_MCP_URL}, ${KIRO_GOV_MCP_API_KEY}, ${MCP_CERT_FINGERPRINT}) per F-02 §6.2
- .env.example committed with placeholder values per F-02 §6.3
- .env added to .gitignore per F-02 §6.3
- Must pull latest Kiro agents before making changes per SRS FR-06 AC","Delivery as branch + PR into app-dev agents repo per SRS FR-06."
"KG-07","Agent Integration (F-02)","Sprint 2","Orchestrator hook — macro sign-off MCP calls","Backend","3","High","Backlog","KG-06","agent-integration-architecture.md §3","AC:
- On approval, orchestrator calls record_progress with: project_id, update_text ('[gate] approved by [actor]'), type:'macro', gate (canonical name), phase, source_ref (artifact path), actor per F-02 §3.1
- If record_progress returns {written:true}, calls notify_slack with: project_id, message ('[gate] approved by [actor] — artifact: [source_ref]'), event_type:'macro' per F-02 §3.1
- If record_progress returns {written:false, reason:'duplicate'}, skips notify_slack, logs 'Already recorded' per F-02 §3.1
- If MCP call fails (connection error), logs warning '⚠️ Governance recording failed', proceeds with workflow per F-02 §3.5
- If notify_slack returns {notified:false}, logs warning, does NOT block workflow per F-02 §3.5 (SRS NFR-02)","Non-blocking on MCP failure per F-02 §3.5."
"KG-08","Agent Integration (F-02)","Sprint 2","Micro update logging — instrument 11 micro events across sub-agents","Backend","5","High","Backlog","KG-06","agent-integration-architecture.md §4, §5.2","AC:
- All 6 sub-agent steering files updated with micro logging instructions per F-02 §5.2: product-analyst, aws-architect, plan-reviewer, code-reviewer, executioner, qa-agent
- 11 micro events instrumented per F-02 §4.5: 'Domain decomposition done', 'Feature list defined', 'Data model draft complete', 'Requirements gathering started', 'Draft SRS sections written', 'Architecture review started', 'Review findings documented', 'Spec file generation started', 'Handler implementation complete', 'Test plan created', 'Code review started'
- Each micro call uses: project_id (same resolution as orchestrator), update_text (event description), type:'micro', source_ref (file path or 'N/A'), actor (sub-agent name) per F-02 §4.3
- Micro calls are non-blocking: if MCP fails, log warning and continue per F-02 §4.4 / edge case 4
- No human gate, no Slack notification for micro events per F-02 §4.4 (SRS FR-07)
- Single PR covers all agent file changes per F-02 §5.4","Largest F-02 story by file count — 6 steering files + orchestrator."
"KG-09","GitHub Trigger (F-03)","Sprint 2","GitHub Actions workflow — diff parse + macro match + MCP call","Backend","3","High","Backlog","KG-04; KG-05","github-trigger-architecture.md §2, §3, §4","AC:
- Workflow file at .github/workflows/governance-trigger.yml per F-03 §2.1
- Triggers on push to main branch with path filter 'docs/project-progress.md' per F-03 §2.2 (SRS FR-04)
- Uses fetch-depth:2 for single-commit diff per F-03 §2.2
- Explicit permissions block: contents:read per F-03 §2.3
- Installs Node.js 20 and runs npm ci + npm run build in packages/shared per F-03 §2.3
- Script at scripts/governance-trigger.js extracts added lines from git diff per F-03 §3.1
- Imports MACRO_GATES and MACRO_GATE_ALIASES from packages/shared/dist/constants/macro-gates per F-03 §5.2
- Uses case-insensitive substring matching per F-03 §3.2 (same algorithm as F-01 §4.2)
- For each macro match: calls record_progress via HTTPS POST to MCP server per F-03 §4.2
- record_progress params: project_id=github.event.repository.name, update_text=raw line, type:'macro', gate=canonical name, source_ref=github.sha, actor=github.actor per F-03 §4.2
- If record_progress returns written:true, calls notify_slack per F-03 §4.1
- If record_progress returns written:false (duplicate), skips notify_slack per F-03 §4.1 (F-01 §5.4)
- notify_slack params: project_id, message:'[gate] — committed by [actor] (ref: [short SHA])', event_type:'macro' per F-03 §4.3
- HTTP calls use https.request() with checkServerIdentity for cert fingerprint pinning per F-03 §3.4
- Auth via X-API-Key header from MCP_API_KEY secret per F-03 §4.4
- Secrets: MCP_SERVER_URL, MCP_API_KEY, MCP_CERT_FINGERPRINT as GitHub Encrypted Secrets per F-03 §4.5
- Workflow fails (exit 1) if any MCP call fails per F-03 §4.6
- Non-matching (micro) entries are ignored per F-03 §2.2 (SRS FR-04 AC)","No workflow-level dedup — MCP server handles all dedup per F-03 §7.2."
"KG-13","Integration & Validation","Sprint 3","End-to-end integration test via Kiro CLI","Backend","5","High","Backlog","KG-07; KG-09","mcp-server-core-architecture.md §3; agent-integration-architecture.md §3; github-trigger-architecture.md §4","AC:
- Test the full Pathway 1 flow by triggering it through the Kiro CLI agent workflow (generate artifact → human-approval gate → MCP server call → DynamoDB write verified → Slack notification verified → git commit → GitHub Actions workflow fires → second MCP call → dedup prevents duplicate DynamoDB record)
- Test dedup: second call with same project_id + gate + same day → returns {written:false, reason:'duplicate'} per F-01 §5.3
- Test dedup: notify_slack NOT called on duplicate per F-01 §5.4
- Test micro path: record_progress with type:micro → DynamoDB record written, no Slack per SRS FR-07
- Test GitHub Actions path: push to main with macro-gate lingo in project-progress.md → workflow triggers, MCP called per F-03 §4.1
- Test classification: update_text containing 'SRS approved' → type resolves to 'macro' per F-01 §4.2
- Test classification: non-matching text → type resolves to 'micro' per F-01 §4.2
- Test flag_override: flag_override=true with type:'macro' → stored as-is without auto-classification per F-01 §4.3","Validates the end-to-end governance loop per SRS §14 success metric 1."
"KG-14","Integration & Validation","Sprint 3","Runbooks — cert rotation, EC2 deploy, auto-recovery alarm","Backend","2","Medium","Backlog","KG-02; KG-03","mcp-server-core-architecture.md §8.2; github-trigger-architecture.md §4.5","AC:
- Runbook for TLS cert rotation: regenerate cert, restart service, update MCP_CERT_FINGERPRINT in GitHub Secrets and developer environments per F-01 §8.2
- Runbook for EC2 deployment: git pull, npm ci, npm run build, systemctl restart per F-01 §8.1
- EC2 auto-recovery alarm configured (Security Gate 2 REL-1)
- Runbook for API key rotation: update SSM parameter, update GitHub Secret, restart not needed (loaded from SSM at startup with no cache expiry for API key) per F-01 §7.1
- Runbook for SSM webhook configuration: adding new project webhook URL per F-01 §6.3","Addresses Medium findings from Security Gate 2."
